Traj_id,Time_list
69,"[1470037245.0,1470037280,1470037300,1470037310,1470037320,1470037330,1470037682,1470037692,1470038324,1470038424]"
70,"[1470036862.5,1470036898.0,1470036929,1470037283,1470037821,1470037839,1470037842,1470038001,1470038009,1470038019,1470038022,1470038032,1470038125.0]"
71,"[1470037213,1470037223,1470037243,1470037257.5,1470037274.3333333,1470037296,1470037305,1470037315,1470038437,1470038457]"
72,"[1470037263,1470037301,1470037312,1470037636,1470037637,1470038300,1470038304,1470038307,1470038310,1470038414]"
73,"[1470035168,1470037679,1470037681,1470037809,1470037819,1470037829,1470037839,1470037849,1470038029,1470038069,1470038079]"
74,"[1470037256,1470037259,1470037293,1470037297,1470037321,1470037327,1470037659.0,1470037848,1470037868,1470037896,1470037906]"
75,"[1470036868,1470036882.5,1470036898,1470036908,1470036918,1470036953.0,1470037692,1470038318.0,1470038343,1470038436.6666667,1470038465]"
76,"[1470036864,1470036944,1470036966,1470037322,1470037643.5,1470037658,1470037668,1470038348,1470038358,1470038378]"
77,"[1470037186,1470037196,1470037206,1470037256,1470037266,1470037308,1470037322,1470038304.0,1470038331,1470038341,1470038351,1470038445,1470038465]"
78,"[1470037216,1470037226,1470037236,1470037246,1470037256,1470037266,1470037313,1470038297,1470038327,1470038396,1470038416,1470038428,1470038441]"
79,"[1470036904,1470037666,1470037686,1470037846,1470038238.0,1470038259,1470038274.0,1470038285.5,1470038381,1470038383,1470038393]"
80,"[1470037215,1470037225,1470037245,1470037295,1470037305,1470037643,1470038308,1470038318,1470038328,1470038418,1470038428]"
81,"[1470037231.0,1470037314,1470037324,1470037639.0,1470037654,1470037656,1470038297,1470038327,1470038357,1470038397]"
82,"[1470037240,1470037260,1470037290,1470037300,1470037635,1470037655,1470037665,1470037671,1470038324,1470038334,1470038344,1470038348]"
83,"[1470036956,1470036964,1470037294,1470037640,1470037650,1470037658,1470037668,1470037678,1470037819,1470038461]"
84,"[1470036454.0,1470036578,1470036590,1470036630,1470036632,1470036742,1470036772,1470036792,1470036937,1470036957,1470037806,1470037816,1470038433,1470038448]"
85,"[1470037231,1470037241,1470037311,1470037320,1470037321,1470037331,1470037636,1470038315,1470038345,1470038456.0]"
86,"[1470037216,1470037228,1470037238,1470037248,1470037302,1470037314,1470037682,1470038302,1470038322,1470038332,1470038342,1470038427.0,1470038442,1470038448,1470038458,1470038467]"
