node,lng,lat
122,121.559364,31.243109
123,121.5597457,31.2426996
124,121.567211,31.2403102
125,121.5482726,31.2049793
126,121.4942601,31.2094398
127,121.4935084,31.2090948
128,121.4927874,31.2087342
129,121.492253,31.2083877
130,121.4862301,31.2039698
131,121.4856619,31.2036328
132,121.4846885,31.2032107
133,121.4815849,31.2021762
134,121.4733798,31.1991281
135,121.473349,31.199045
136,121.4732969,31.198958
137,121.4732426,31.1988944
138,121.473185,31.1988432
139,121.4731023,31.1987883
140,121.4730079,31.1987445
141,121.4729083,31.1987148
142,121.4727781,31.1986978
143,121.4726364,31.1987049
144,121.4724964,31.1987394
145,121.4723334,31.1988131
146,121.4722644,31.1988784
147,121.4721682,31.1989958
148,121.4721133,31.1991192
149,121.4720944,31.1992329
150,121.4721008,31.1993353
151,121.4721326,31.1994434
152,121.471474,31.2026054
153,121.4687441,31.209982
154,121.4680511,31.2115595
155,121.4660832,31.2147227
156,121.4659116,31.2152145
157,121.4658515,31.215677
158,121.4658515,31.2162275
159,121.4660537,31.2171565
160,121.4664368,31.2186261
161,121.4664839,31.2192531
162,121.4668624,31.2205022
163,121.4672027,31.2218061
164,121.4670138,31.223242
165,121.4669098,31.2234686
166,121.4630516,31.2238183
167,121.4629259,31.2257206
168,121.4626613,31.2256907
169,121.461347,31.2256494
170,121.4604081,31.225749
171,121.4516168,31.2278166
172,121.4624429,31.2333299
173,121.4620698,31.2352219
174,121.4618611,31.2361431
175,121.4616122,31.2368964
176,121.4611266,31.2378089
177,121.4603363,31.2390423
178,121.4597778,31.2401321
179,121.4581554,31.2440826
180,121.4579103,31.2448303
181,121.4578177,31.2452103
182,121.4577752,31.2455473
183,121.4577847,31.2460918
184,121.4578621,31.2466519
185,121.4579343,31.2470161
186,121.4580189,31.2474202
187,121.4583423,31.2489458
188,121.4586295,31.2503324
189,121.4590665,31.2525972
190,121.459103,31.2529402
191,121.4592136,31.2543818
192,121.4592145,31.2576649
193,121.4620798,31.2646773
194,121.4634225,31.2652581
195,121.4639975,31.2655735
196,121.4651283,31.26635
197,121.4662365,31.2673737
198,121.4669519,31.2682047
199,121.467611,31.2688603
200,121.4685208,31.2696306
201,121.4699456,31.2706503
202,121.4706666,31.2713252
203,121.4714217,31.2722812
204,121.4720763,31.2732417
205,121.4726164,31.2741691
206,121.4735688,31.2769397
207,121.4740529,31.2782634
208,121.4746062,31.2790132
209,121.4748723,31.2792919
210,121.4753873,31.2796073
211,121.4765116,31.2801428
212,121.4770438,31.2803996
213,121.4776103,31.2808119
214,121.4778817,31.281143
215,121.4780289,31.2813761
216,121.4781526,31.2816732
217,121.4782408,31.2819324
218,121.4783216,31.2824483
219,121.478401,31.2836813
220,121.4785496,31.2854008
221,121.4786054,31.2857111
222,121.4787556,31.2863033
223,121.4795486,31.2874652
224,121.4802099,31.2878354
225,121.4805885,31.2879584
226,121.4811056,31.2880278
227,121.4814675,31.2880149
228,121.482681,31.2877707
229,121.483292,31.287666
230,121.4847458,31.2876376
231,121.4918083,31.2876597
232,121.4922549,31.287681
233,121.4925853,31.2877337
234,121.4929053,31.2878152
235,121.4931896,31.2879063
236,121.4934463,31.2880257
237,121.4936272,31.2881225
238,121.4938429,31.2882628
239,121.494408,31.2886711
240,121.4947355,31.2888962
241,121.4951991,31.289138
242,121.4957635,31.2893095
243,121.4961583,31.2893755
244,121.4969479,31.2893829
245,121.4981348,31.2893486
246,121.4999657,31.2892754
247,121.5007217,31.2891473
248,121.5013309,31.2889668
249,121.5046979,31.2877596
250,121.507116,31.2868931
251,121.5075821,31.2867648
252,121.5082003,31.2866561
253,121.5085384,31.2866288
254,121.5089658,31.2866165
255,121.5093439,31.2866284
256,121.5096422,31.2866477
257,121.5100155,31.286708
258,121.5106252,31.2868378
259,121.514448,31.2877319
260,121.5154281,31.2879293
261,121.515998,31.2879463
262,121.5163143,31.2879099
263,121.5167692,31.2877942
264,121.5172402,31.2875895
265,121.5175646,31.2873693
266,121.5178305,31.2871384
267,121.5180996,31.2867849
268,121.4730782,31.2757068
269,121.4732333,31.2758708
270,121.4718281,31.2728512
271,121.4729267,31.2749499
272,121.4727229,31.2747111
273,121.4725218,31.2741859
274,121.4719587,31.2731776
275,121.4713631,31.2723457
276,121.4705936,31.2713647
277,121.4698814,31.2707046
278,121.4684894,31.2696883
279,121.4678674,31.2691937
280,121.467554,31.268897
281,121.4668984,31.2682534
282,121.4661796,31.2674129
283,121.4650697,31.2664154
284,121.4639581,31.2656363
285,121.4633409,31.2653283
286,121.4620306,31.2647613
287,121.4590793,31.2578317
288,121.4590913,31.2543819
289,121.4589693,31.2529431
290,121.458932,31.2526068
291,121.4585068,31.2503482
292,121.4582282,31.2489753
293,121.4578552,31.2474434
294,121.4576271,31.2461836
295,121.4576061,31.2459796
296,121.4576321,31.2453307
297,121.4579631,31.244152
298,121.4593788,31.2407742
299,121.4596481,31.2401749
300,121.4603849,31.2388112
301,121.4610176,31.2377579
302,121.4615065,31.2368527
