section_id,s_node,e_node,length
370,1758,62752,2.197986235
371,62752,72975,4.663714103
372,72975,44194,5.719302291
373,44194,683,0.882579551
374,683,44193,0.876009289
375,44193,72976,14.70196404
376,72976,44192,7.21396368
377,44192,43909,0.984468084
378,12078,77526,8.229072361
379,77526,77531,2.179580033
380,77531,26113,8.681966736
381,26113,60611,1.888522417
382,67890,1544,25.86322781
383,1544,760,0.4973885
384,51359,428,1.942782103
385,428,5724,1.882736104
386,5724,51361,1.180406896
387,51361,1113,1.833239598
388,1113,1114,3.417372522
389,1114,1115,4.808097158
390,1115,51449,6.35732291
391,51449,1116,3.665726727
392,1116,1117,4.451180336
393,1117,69808,3.461714682
394,69808,1118,3.932192007
395,1118,51447,3.608106244
396,51447,1119,2.845040566
397,1119,1120,8.755088089
398,1120,1121,8.248902597
399,1121,1122,7.290137149
400,1122,1123,7.444193318
401,1123,1124,8.716541509
402,1124,51253,2.234112679
403,51253,1125,2.298733928
404,1125,51256,1.85030363
405,51256,1126,1.925978249
406,1126,438,2.073603678
407,7288,26289,0.526796562
408,26289,25564,0.905408924
409,25564,26288,7.317518118
410,26288,751,1.820466941
411,751,74163,4.103911292
412,74163,7294,2.527453309
413,7294,74159,3.493867235
414,36171,65729,1.566419538
415,65729,51949,0.806967767
416,51949,51924,2.91178043
417,51924,65702,0.509140933
418,65702,51939,1.797483614
419,51939,72135,7.200974335
420,72135,47390,13.8040905
421,47390,68335,0.876503157
422,68335,52851,0.788807017
423,52851,52905,1.019854201
424,52905,68333,0.712242719
425,68333,46385,0.696929495
426,46385,47384,7.189936399
427,47384,656,1.34385477
428,656,771,0.450517592
429,771,47387,1.763750513
430,47387,12,29.98552029
431,12,825,26.52319267
432,825,1695,28.70152927
433,1695,43,0.40884225
434,43,761,0.608779732
435,761,1712,0.38128752
436,1712,47380,25.12166473
437,47380,779,1.446219509
438,794,36132,0.922624446
439,36132,1094,23.3176012
440,1094,3104,0.819487332
441,3104,47381,4.167413645
442,47381,793,0.167320816
443,793,69829,1.045209516
444,69829,47379,1.469704145
445,47379,1713,25.16589301
446,1713,762,0.421646596
447,762,760,0.630076774
448,760,1694,0.353206912
449,1694,11124,28.45637355
450,11124,759,26.59095406
451,759,47383,23.85127226
452,47383,47386,6.236220087
453,47386,51288,2.005906522
454,51288,47385,1.5293555
455,47385,5241,7.146980652
456,5241,68334,0.429083493
457,68334,52904,0.631895608
458,52904,52850,0.972905537
459,52850,68336,0.821395815
460,68336,47391,1.227233882
461,47391,5242,6.213698517
462,5242,51961,15.05038701
463,51961,65703,2.06849192
464,65703,51944,0.506538018
465,51944,51933,2.852981121
466,51933,65728,1.01690666
467,65728,36170,1.290641434
468,779,47382,1.228992176
469,47382,36134,28.26160887
470,36134,66571,0.482757811
471,66571,795,0.594179396
472,2103,2106,0.663030719
473,2106,61379,10.53172968
474,61379,2094,6.791814443
475,2094,8239,18.45327452
476,8239,11,2.816851255
477,11,74306,13.56688241
478,74306,2091,0.551655173
479,2091,2117,0.804975209
480,10063,10079,14.34249144
481,10079,10080,19.11405518
482,10080,10028,35.29218672
483,10028,625,13.95467517
484,625,26552,24.14904449
485,26552,442,19.01374772
486,442,74077,3.036381281
487,1042,940,4.466010812
488,940,29019,5.920061811
489,29019,939,3.789980884
490,939,938,8.522282068
491,938,1041,12.71894925
492,1041,1040,18.49440922
493,764,78045,5.404591341
494,78045,47852,5.348304009
495,47852,11170,11.14407736
496,11170,78089,8.756236072
497,78089,11167,5.180832574
498,11167,1630,7.396758144
499,1630,80408,0.458667398
500,80408,776,1.129013701
501,776,777,0.604471811
502,777,1523,0.438999887
503,1523,775,7.261417982
504,775,46185,5.56699516
505,46185,78087,3.379419864
506,78087,2161,2.22164617
507,2161,1573,4.398432745
508,1573,778,0.385714637
509,4167,59043,1.453705918
510,59043,4166,5.769369423
511,4166,4165,4.850042824
512,4165,7220,2.944515205
513,7220,4164,5.802163909
514,4164,4168,6.334537317
515,4168,35075,1.305622364
516,1040,1057,7.335017418
517,1057,1056,5.03305444
518,1056,1055,3.674932605
519,1055,1054,2.903958628
520,1054,1053,4.355999754
521,1053,1052,8.400136531
522,1052,3407,9.081006645
523,3407,313,2.622377747
524,5757,8949,1.786574536
525,796,1536,0.942478103
526,1536,1541,0.627406386
527,1541,78085,1.29820007
528,78085,77019,7.945378781
529,77019,12516,5.973212465
530,699,1098,3.288860718
531,1098,1099,3.106253084
532,617,54554,1.630431097
533,54554,1105,1.703691494
534,1105,54555,2.392619763
535,54555,1106,2.589705114
536,1106,56842,4.488764469
537,56842,1107,1.879820445
538,1107,1108,1.069190485
539,1108,54530,0.676255319
540,54530,54531,0.695892344
541,54531,1109,0.628724557
542,1109,54532,0.630592767
543,54532,1110,0.781216823
544,1110,54533,0.785841782
545,54533,54534,0.884898783
546,54534,54535,0.979376628
547,54535,1111,0.762435352
548,1111,54536,0.811375101
549,54536,1112,2.661495958
550,1112,8977,2.560407171
551,8977,1104,15.68172334
552,541,542,6.269044964
553,1238,61578,1.22616218
554,61578,39169,1.910773182
555,39169,1927,1.408181574
556,1927,1215,5.425679071
557,1215,61577,1.890325416
558,61577,1216,5.364449362
559,1216,1217,5.189844968
560,20948,20963,10.01999102
561,20963,77856,12.21174099
562,13400,22155,26.9651403
563,22155,1230,26.40219598
564,1230,1237,0.303280272
565,1237,1236,7.24662017
566,1236,1235,9.627705139
567,1235,1234,9.422072337
568,1234,1233,6.978523486
569,1233,1229,1.8095897
570,1229,22152,13.60998074
571,22152,1224,10.62142824
572,1224,58046,0.810359526
573,1228,70779,0.85320475
574,70779,60447,0.596309567
575,60447,60448,1.767135705
576,60448,39179,6.07972378
577,39179,29221,0.793206984
578,29221,39180,2.107975997
579,39180,59737,15.38586865
580,59737,32062,3.019782904
581,32062,41279,10.65625782
582,41279,59447,16.2081391
583,22150,70787,4.910345449
584,70787,70783,1.638949546
585,70783,70786,1.986158826
586,70786,22163,2.103940409
587,22163,66890,8.576806075
588,66890,64156,4.664272517
589,1226,59449,18.66350853
590,59449,16230,4.11543826
591,49245,57418,22.00159854
592,57418,66800,0.435772644
593,66800,49242,8.53666649
594,49242,60468,16.00351895
595,60468,71590,9.40752874
596,1245,55171,14.69512007
597,55171,55172,0.960077473
598,654,1255,6.565572458
599,1259,26554,4.017269215
600,26554,1257,2.387089314
601,1253,1988,11.03938474
602,1988,1550,8.982117149
603,1550,1254,0.65595942
604,1254,1553,0.733999998
605,8228,1260,20.21593004
606,1092,72475,8.791342906
607,72475,72476,3.826772795
608,72476,1093,8.152366378
609,72577,53335,1.894144986
610,53335,10213,2.698427555
611,10213,36348,2.020040612
612,36348,36349,0.474337344
613,36349,36350,0.477326181
614,2032,10081,19.18886992
615,30712,30714,0.523987056
616,30714,7442,0.646797833
617,7442,1323,2.338210099
618,1323,58965,1.389573175
619,58965,58966,1.432405253
620,58966,1322,2.066311114
621,1322,69245,0.877198019
622,69245,69240,0.388475369
623,69240,30601,1.305502165
624,30601,69239,1.71089125
625,69239,69246,1.41335674
626,69246,1321,0.311077589
627,1321,69238,2.472827721
628,69238,1320,4.020219229
629,1320,69105,1.096302489
630,69105,69249,2.449851305
631,69249,69248,0.860278752
632,69248,78184,2.552280341
633,78184,30676,7.104826741
634,30676,9940,1.065373063
635,353,30564,0.30612585
636,30564,1324,0.815373096
637,1324,37985,0.89496461
638,37985,37987,5.744689892
639,37987,1325,0.689673471
640,1325,30562,0.850670473
641,30562,38190,5.908057961
642,38190,1326,0.557650823
643,1328,46812,0.687534086
644,46812,60588,6.615828445
645,60588,30723,6.599847564
646,30723,1887,2.255776182
